Name,LastLogonDate,DistinguishedName
COG-HP-7597992,4/13/2021 11:44,"CN=COG-HP-7597992,OU=Computers,OU=YVCOG,DC=co,DC=yakima,DC=wa,DC=us"
COG-PL-7597995,5/22/2021 10:49,"CN=COG-PL-7597995,OU=Computers,OU=YVCOG,DC=co,DC=yakima,DC=wa,DC=us"
COG-PLX-7597981,3/16/2020 12:38,"CN=COG-PLX-7597981,OU=Computers,OU=YVCOG,DC=co,DC=yakima,DC=wa,DC=us"
COG-PLX-7597982,4/18/2021 3:07,"CN=COG-PLX-7597982,OU=Computers,OU=YVCOG,DC=co,DC=yakima,DC=wa,DC=us"
COM-SCAN-NP,9/10/2021 10:17,"CN=COM-SCAN-NP,OU=Computers,OU=Commissioners,DC=co,DC=yakima,DC=wa,DC=us"
COM-SP-BOE,1/9/2020 11:34,"CN=COM-SP-BOE,OU=Computers,OU=Commissioners,DC=co,DC=yakima,DC=wa,DC=us"
COM-T-1515,10/5/2020 11:04,"CN=COM-T-1515,OU=Computers,OU=Commissioners,DC=co,DC=yakima,DC=wa,DC=us"
COM-T-1515B,3/11/2021 16:04,"CN=COM-T-1515B,OU=Computers,OU=Commissioners,DC=co,DC=yakima,DC=wa,DC=us"
COM-T-1517,10/26/2020 14:20,"CN=COM-T-1517,OU=Computers,OU=Commissioners,DC=co,DC=yakima,DC=wa,DC=us"
COOP-1572,4/28/2020 8:17,"CN=COOP-1572,OU=NoApplocker,OU=Computers,OU=COOP,DC=co,DC=yakima,DC=wa,DC=us"
DAC-FEL-L1142,3/24/2022 13:30,"CN=DAC-FEL-L1142,OU=Win7-Win8,OU=Computers,OU=Assigned Counsel,DC=co,DC=yakima,DC=wa,DC=us"
DAC-FEL-L1198,7/11/2022 12:11,"CN=DAC-FEL-L1198,OU=Win7-Win8,OU=Computers,OU=Assigned Counsel,DC=co,DC=yakima,DC=wa,DC=us"
DAC-MN-L1144,7/7/2022 13:14,"CN=DAC-MN-L1144,OU=Win7-Win8,OU=Computers,OU=Assigned Counsel,DC=co,DC=yakima,DC=wa,DC=us"
DAC-MN-L1163,4/17/2022 14:36,"CN=DAC-MN-L1163,OU=Win7-Win8,OU=Computers,OU=Assigned Counsel,DC=co,DC=yakima,DC=wa,DC=us"
DC-ACCT-1829,7/5/2021 12:43,"CN=DC-ACCT-1829,OU=Computers,OU=District Court,DC=co,DC=yakima,DC=wa,DC=us"
DC-ACCT-LPRB,9/17/2021 8:03,"CN=DC-ACCT-LPRB,OU=Win7-Win10,OU=Computers,OU=Auditors,DC=co,DC=yakima,DC=wa,DC=us"
DC-ACCT-T1846,3/2/2022 20:14,"CN=DC-ACCT-T1846,OU=Computers,OU=District Court,DC=co,DC=yakima,DC=wa,DC=us"
DC-ADM-1874L,1/24/2022 7:55,"CN=DC-ADM-1874L,OU=Computers,OU=District Court,DC=co,DC=yakima,DC=wa,DC=us"
DC-ADM-L1837,3/12/2022 18:42,"CN=DC-ADM-L1837,OU=Computers,OU=District Court,DC=co,DC=yakima,DC=wa,DC=us"
DC-CHBR-1608O,7/26/2021 8:50,"CN=DC-CHBR-1608O,OU=District Court,DC=co,DC=yakima,DC=wa,DC=us"
DC-CHBR-L1797,3/9/2022 10:19,"CN=DC-CHBR-L1797,OU=Computers,OU=District Court,DC=co,DC=yakima,DC=wa,DC=us"
DC-CRTCOM-L1827,5/18/2020 11:22,"CN=DC-CRTCOM-L1827,OU=Computers,OU=District Court,DC=co,DC=yakima,DC=wa,DC=us"
DC-GRV-LYNC,5/24/2022 21:48,"CN=DC-GRV-LYNC,OU=Computers,OU=District Court,DC=co,DC=yakima,DC=wa,DC=us"
DC-IMG-1842,6/6/2020 18:42,"CN=DC-IMG-1842,OU=Computers,OU=District Court,DC=co,DC=yakima,DC=wa,DC=us"
DC-JDG-T1783,2/18/2022 16:21,"CN=DC-JDG-T1783,OU=Computers,OU=District Court,DC=co,DC=yakima,DC=wa,DC=us"
DC-LEX-NEX-2,3/8/2020 13:38,"CN=DC-LEX-NEX-2,OU=Computers,OU=District Court,DC=co,DC=yakima,DC=wa,DC=us"
DC-PUB-2,7/12/2020 5:05,"CN=DC-PUB-2,OU=Computers,OU=District Court,DC=co,DC=yakima,DC=wa,DC=us"
DC-PUB-GRV,3/7/2022 10:28,"CN=DC-PUB-GRV,OU=Computers,OU=District Court,DC=co,DC=yakima,DC=wa,DC=us"
DC-SCFTR4-2687,1/7/2020 8:37,"CN=DC-SCFTR4-2687,OU=Computers,OU=District Court,DC=co,DC=yakima,DC=wa,DC=us"
DC-TESTER,8/31/2021 4:14,"CN=DC-TESTER,OU=Computers,OU=District Court,DC=co,DC=yakima,DC=wa,DC=us"
DC-WIN-1811,6/1/2020 21:19,"CN=DC-WIN-1811,OU=Computers,OU=District Court,DC=co,DC=yakima,DC=wa,DC=us"
DESKTOP-EI6T03D,5/24/2022 13:35,"CN=DESKTOP-EI6T03D,CN=Computers,DC=co,DC=yakima,DC=wa,DC=us"
DET-1948,6/2/2020 9:04,"CN=DET-1948,OU=Computers,OU=South Central Workforce Counsel,DC=co,DC=yakima,DC=wa,DC=us"
DOC-ADM-1717,6/26/2020 5:58,"CN=DOC-ADM-1717,OU=NoApplocker,OU=Computers,OU=Dept of Corrections,DC=co,DC=yakima,DC=wa,DC=us"
DOC-CHPLN-AID,3/29/2022 20:13,"CN=DOC-CHPLN-AID,OU=Computers,OU=Dept of Corrections,DC=co,DC=yakima,DC=wa,DC=us"
DOC-CLRKS-XXXX,11/2/2020 8:59,"CN=DOC-CLRKS-XXXX,OU=Computers,OU=Dept of Corrections,DC=co,DC=yakima,DC=wa,DC=us"
DOC-LOANER-1,3/16/2020 14:48,"CN=DOC-LOANER-1,OU=Loan_pool,DC=co,DC=yakima,DC=wa,DC=us"
DOC-LOANER-2,5/5/2022 14:15,"CN=DOC-LOANER-2,OU=Loan_pool,DC=co,DC=yakima,DC=wa,DC=us"
DOC-LOANER-3,3/16/2020 16:47,"CN=DOC-LOANER-3,OU=Loan_pool,DC=co,DC=yakima,DC=wa,DC=us"
DOC-LOANER-4,3/16/2020 17:16,"CN=DOC-LOANER-4,OU=Loan_pool,DC=co,DC=yakima,DC=wa,DC=us"
DOC-LOANER-5,3/16/2020 17:35,"CN=DOC-LOANER-5,OU=Loan_pool,DC=co,DC=yakima,DC=wa,DC=us"
DOC-LOANER-T4,3/25/2020 9:13,"CN=DOC-LOANER-T4,OU=Loan_pool,DC=co,DC=yakima,DC=wa,DC=us"
DOC-LOANER-T5,3/25/2020 9:24,"CN=DOC-LOANER-T5,OU=Loan_pool,DC=co,DC=yakima,DC=wa,DC=us"
DOC-LT-COXEN,6/20/2022 8:26,"CN=DOC-LT-COXEN,OU=Computers,OU=Dept of Corrections,DC=co,DC=yakima,DC=wa,DC=us"
DOC-MUGSHOT,10/12/2020 18:42,"CN=DOC-MUGSHOT,OU=Computers,OU=Dept of Corrections,DC=co,DC=yakima,DC=wa,DC=us"
DOC-TAB-SPLAWN,6/28/2021 12:05,"CN=DOC-TAB-SPLAWN,OU=Computers,OU=Dept of Corrections,DC=co,DC=yakima,DC=wa,DC=us"
EMS-2157,2/26/2022 9:33,"CN=EMS-2157,OU=Computers,OU=Emergency Medical Services,DC=co,DC=yakima,DC=wa,DC=us"
EMS-INSTRUCTOR1,6/9/2022 9:13,"CN=EMS-INSTRUCTOR1,OU=Computers,OU=Emergency Medical Services,DC=co,DC=yakima,DC=wa,DC=us"
ESERIES-FS01,3/14/2022 8:39,"CN=ESERIES-FS01,OU=E-Series,OU=Domain Servers,DC=co,DC=yakima,DC=wa,DC=us"
ESERIES-FS02,3/14/2022 8:39,"CN=ESERIES-FS02,OU=E-Series,OU=Domain Servers,DC=co,DC=yakima,DC=wa,DC=us"
ESERIES-FS03,3/14/2022 8:39,"CN=ESERIES-FS03,OU=E-Series,OU=Domain Servers,DC=co,DC=yakima,DC=wa,DC=us"
EV-FD-C40,2/5/2020 15:02,"CN=EV-FD-C40,OU=East Valley Fire 4,DC=co,DC=yakima,DC=wa,DC=us"
FAC-2419,5/20/2021 21:07,"CN=FAC-2419,OU=Computers,OU=Facilities,DC=co,DC=yakima,DC=wa,DC=us"
FAC-JUV-1508,6/21/2021 12:51,"CN=FAC-JUV-1508,OU=Computers,OU=Facilities,DC=co,DC=yakima,DC=wa,DC=us"
FAC-MAINT-2401,12/1/2020 0:27,"CN=FAC-MAINT-2401,OU=Computers,OU=Facilities,DC=co,DC=yakima,DC=wa,DC=us"
FAC-MN-2208,1/18/2022 19:54,"CN=FAC-MN-2208,OU=Computers,OU=Facilities,DC=co,DC=yakima,DC=wa,DC=us"
FAC-MN-2402,8/3/2020 7:10,"CN=FAC-MN-2402,OU=Computers,OU=Facilities,DC=co,DC=yakima,DC=wa,DC=us"
FAC-MN-2404,1/16/2022 17:27,"CN=FAC-MN-2404,OU=NoApplocker,OU=Computers,OU=Facilities,DC=co,DC=yakima,DC=wa,DC=us"
FAC-MN-2416,1/24/2022 9:31,"CN=FAC-MN-2416,OU=Computers,OU=Facilities,DC=co,DC=yakima,DC=wa,DC=us"
FAC-MN-BR,1/14/2022 17:27,"CN=FAC-MN-BR,OU=Computers,OU=Facilities,DC=co,DC=yakima,DC=wa,DC=us"
FAC-MN-L2406,7/6/2020 13:05,"CN=FAC-MN-L2406,OU=Computers,OU=Facilities,DC=co,DC=yakima,DC=wa,DC=us"
FAC-RC-2411,2/3/2022 11:44,"CN=FAC-RC-2411,OU=Computers,OU=Facilities,DC=co,DC=yakima,DC=wa,DC=us"
FAC-RC-2452,12/7/2020 11:34,"CN=FAC-RC-2452,OU=Computers,OU=Facilities,DC=co,DC=yakima,DC=wa,DC=us"
FAC-YAK-2917,11/7/2020 18:43,"CN=FAC-YAK-2917,OU=Computers,OU=Facilities,DC=co,DC=yakima,DC=wa,DC=us"
FS-1315,6/3/2022 11:35,"CN=FS-1315,OU=FS,OU=Computers,OU=Financial Services,DC=co,DC=yakima,DC=wa,DC=us"
FS-1366,1/18/2022 9:03,"CN=FS-1366,OU=NoApplocker,OU=Computers,OU=Financial Services,DC=co,DC=yakima,DC=wa,DC=us"
GIS-CLEMAN,9/9/2021 2:16,"CN=GIS-CLEMAN,OU=Computers,OU=GIS,DC=co,DC=yakima,DC=wa,DC=us"
GIS-TUMAC,12/11/2021 12:11,"CN=GIS-TUMAC,OU=Computers,OU=GIS,DC=co,DC=yakima,DC=wa,DC=us"
HR-L2216,6/23/2022 18:36,"CN=HR-L2216,OU=NoApplocker,OU=Computers,OU=Human Resources,DC=co,DC=yakima,DC=wa,DC=us"
HR-L2225A,5/14/2020 7:41,"CN=HR-L2225A,OU=NoApplocker,OU=Computers,OU=Human Resources,DC=co,DC=yakima,DC=wa,DC=us"
HR-L2227,10/21/2020 10:33,"CN=HR-L2227,OU=NoApplocker,OU=Computers,OU=Human Resources,DC=co,DC=yakima,DC=wa,DC=us"
HR-REMOTE-SPARE,8/19/2020 15:42,"CN=HR-REMOTE-SPARE,OU=NoApplocker,OU=Computers,OU=Human Resources,DC=co,DC=yakima,DC=wa,DC=us"
HR-T2216,2/11/2020 13:09,"CN=HR-T2216,OU=NoApplocker,OU=Computers,OU=Human Resources,DC=co,DC=yakima,DC=wa,DC=us"
HR-TEMP,4/8/2020 13:41,"CN=HR-TEMP,OU=NoApplocker,OU=Computers,OU=Human Resources,DC=co,DC=yakima,DC=wa,DC=us"
HR-VNP-L2218,2/17/2022 4:50,"CN=HR-VNP-L2218,OU=NoApplocker,OU=Computers,OU=Human Resources,DC=co,DC=yakima,DC=wa,DC=us"
HR-VPN-L2212,11/29/2021 14:58,"CN=HR-VPN-L2212,OU=NoApplocker,OU=Computers,OU=Human Resources,DC=co,DC=yakima,DC=wa,DC=us"
JUV-2019,9/15/2021 16:14,"CN=JUV-2019,OU=Win7,OU=Computers,OU=Juvenile Court,DC=co,DC=yakima,DC=wa,DC=us"
JUV-2053,7/13/2022 15:10,"CN=JUV-2053,OU=Win7,OU=Computers,OU=Juvenile Court,DC=co,DC=yakima,DC=wa,DC=us"
JUV-2061,12/28/2021 5:10,"CN=JUV-2061,OU=Win7,OU=Computers,OU=Juvenile Court,DC=co,DC=yakima,DC=wa,DC=us"
